"Geslacht";"Type werkenden";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Werkzame personen (x 1 000)";"Banen (x 1 000)";"Arbeidsjaren (x 1 000)";"Gewerkte uren (mln uren)"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2016";"     764";"     793";"     703";"    1260"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2017*";"     771";"     800";"     710";"    1264"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2018*";"     786";"     816";"     723";"    1284"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2008";"      26";"      26";"      25";"      42"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2009";"      25";"      25";"      24";"      41"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2010";"      26";"      28";"      25";"      44"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2011";"      27";"      27";"      25";"      43"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2012";"      26";"      27";"      25";"      43"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2013";"      27";"      28";"      26";"      45"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2014";"      26";"      28";"      25";"      44"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2015";"      27";"      28";"      26";"      44"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2016";"      27";"      28";"      25";"      43"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2017*";"      27";"      28";"      25";"      45"
"Totaal mannen en vrouwen";"Totaal";"D Energievoorziening";"2018*";"      27";"      28";"      26";"      47"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2008";"      31";"      32";"      29";"      55"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2009";"      33";"      33";"      31";"      58"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2010";"      32";"      33";"      31";"      58"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2011";"      33";"      34";"      31";"      58"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2012";"      33";"      33";"      30";"      57"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2013";"      32";"      33";"      30";"      57"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2014";"      32";"      33";"      30";"      58"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2015";"      32";"      33";"      30";"      57"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2016";"      33";"      34";"      31";"      58"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2017*";"      34";"      35";"      32";"      60"
"Totaal mannen en vrouwen";"Totaal";"E Waterbedrijven en afvalbeheer";"2018*";"      35";"      36";"      33";"      62"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2008";"     543";"     595";"     517";"     968"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2009";"     536";"     587";"     510";"     956"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2010";"     511";"     559";"     486";"     904"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2011";"     510";"     557";"     484";"     912"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2012";"     497";"     544";"     471";"     878"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2013";"     466";"     510";"     442";"     833"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2014";"     453";"     497";"     431";"     824"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2015";"     449";"     498";"     431";"     827"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2016";"     452";"     502";"     439";"     842"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2017*";"     462";"     512";"     449";"     861"
"Totaal mannen en vrouwen";"Totaal";"F Bouwnijverheid";"2018*";"     475";"     527";"     462";"     879"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2008";"    2166";"    2352";"    1645";"    3098"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2009";"    2130";"    2315";"    1605";"    3012"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2010";"    2125";"    2317";"    1596";"    2997"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2011";"    2159";"    2365";"    1609";"    3031"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2012";"    2164";"    2370";"    1602";"    3005"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2013";"    2141";"    2340";"    1580";"    2961"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2014";"    2153";"    2356";"    1576";"    2985"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2015";"    2188";"    2400";"    1604";"    3022"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2016";"    2224";"    2442";"    1644";"    3096"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2017*";"    2276";"    2498";"    1690";"    3159"
"Totaal mannen en vrouwen";"Totaal";"G-I Handel, vervoer en horeca";"2018*";"    2342";"    2569";"    1742";"    3242"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2008";"    1412";"    1511";"    1073";"    1989"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2009";"    1390";"    1490";"    1047";"    1934"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2010";"    1386";"    1491";"    1040";"    1920"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2011";"    1404";"    1517";"    1045";"    1936"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2012";"    1405";"    1517";"    1038";"    1918"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2013";"    1385";"    1493";"    1019";"    1880"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2014";"    1388";"    1498";"    1013";"    1886"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2015";"    1408";"    1523";"    1026";"    1908"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2016";"    1424";"    1542";"    1047";"    1943"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2017*";"    1455";"    1574";"    1074";"    1976"
"Totaal mannen en vrouwen";"Totaal";"G Handel";"2018*";"    1491";"    1612";"    1103";"    2022"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2008";"     403";"     430";"     343";"     662"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2009";"     396";"     422";"     334";"     642"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2010";"     388";"     415";"     329";"     632"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2011";"     393";"     422";"     330";"     643"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2012";"     391";"     420";"     326";"     635"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2013";"     386";"     414";"     324";"     620"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2014";"     382";"     410";"     319";"     619"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2015";"     381";"     411";"     323";"     621"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2016";"     384";"     415";"     330";"     640"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2017*";"     389";"     420";"     337";"     649"
"Totaal mannen en vrouwen";"Totaal";"H Vervoer en opslag";"2018*";"     403";"     435";"     348";"     665"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2008";"     351";"     410";"     229";"     448"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2009";"     344";"     403";"     224";"     436"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2010";"     350";"     411";"     228";"     445"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2011";"     362";"     427";"     234";"     452"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2012";"     369";"     434";"     237";"     451"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2013";"     370";"     433";"     237";"     461"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2014";"     383";"     448";"     244";"     480"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2015";"     399";"     467";"     255";"     493"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2016";"     415";"     485";"     267";"     513"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2017*";"     431";"     503";"     280";"     535"
"Totaal mannen en vrouwen";"Totaal";"I Horeca";"2018*";"     448";"     522";"     291";"     555"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2008";"     268";"     291";"     249";"     451"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2009";"     263";"     286";"     245";"     445"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2010";"     255";"     279";"     237";"     434"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2011";"     259";"     285";"     242";"     443"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2012";"     262";"     289";"     244";"     446"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2013";"     259";"     286";"     242";"     443"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2014";"     264";"     291";"     247";"     456"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2015";"     271";"     300";"     256";"     468"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2016";"     281";"     311";"     265";"     485"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2017*";"     295";"     325";"     277";"     503"
"Totaal mannen en vrouwen";"Totaal";"J Informatie en communicatie";"2018*";"     306";"     337";"     288";"     521"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2008";"     267";"     283";"     245";"     418"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2009";"     263";"     278";"     241";"     412"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2010";"     256";"     268";"     234";"     398"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2011";"     250";"     264";"     229";"     393"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2012";"     245";"     257";"     224";"     381"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2013";"     241";"     250";"     219";"     373"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2014";"     232";"     240";"     211";"     364"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2015";"     226";"     234";"     206";"     353"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2016";"     221";"     229";"     201";"     346"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2017*";"     212";"     220";"     193";"     334"
"Totaal mannen en vrouwen";"Totaal";"K Financiële dienstverlening";"2018*";"     207";"     215";"     189";"     326"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2008";"      81";"      91";"      69";"     120"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2009";"      82";"      92";"      69";"     120"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2010";"      78";"      90";"      67";"     115"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2011";"      77";"      90";"      66";"     115"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2012";"      75";"      88";"      65";"     111"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2013";"      73";"      85";"      63";"     110"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2014";"      72";"      84";"      61";"     109"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2015";"      72";"      83";"      62";"     108"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2016";"      72";"      84";"      62";"     109"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2017*";"      73";"      86";"      63";"     110"
"Totaal mannen en vrouwen";"Totaal";"L Verhuur en handel van onroerend goed";"2018*";"      74";"      86";"      64";"     111"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2008";"    1807";"    2078";"    1299";"    2346"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2009";"    1746";"    2015";"    1248";"    2246"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2010";"    1693";"    1973";"    1228";"    2231"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2011";"    1724";"    2014";"    1255";"    2284"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2012";"    1726";"    2014";"    1253";"    2275"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2013";"    1722";"    2008";"    1247";"    2280"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2014";"    1760";"    2047";"    1282";"    2355"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2015";"    1833";"    2137";"    1349";"    2475"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2016";"    1907";"    2216";"    1414";"    2593"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2017*";"    1986";"    2302";"    1477";"    2710"
"Totaal mannen en vrouwen";"Totaal";"M-N Zakelijke dienstverlening";"2018*";"    2055";"    2380";"    1538";"    2805"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2008";"     726";"     804";"     577";"    1075"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2009";"     727";"     808";"     584";"    1082"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2010";"     700";"     792";"     570";"    1059"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2011";"     706";"     803";"     578";"    1070"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2012";"     712";"     811";"     584";"    1079"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2013";"     704";"     803";"     575";"    1072"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2014";"     716";"     816";"     584";"    1095"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2015";"     728";"     836";"     603";"    1134"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2016";"     746";"     856";"     618";"    1165"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2017*";"     757";"     867";"     627";"    1176"
"Totaal mannen en vrouwen";"Totaal";"M Specialistische zakelijke diensten";"2018*";"     779";"     892";"     647";"    1206"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2008";"    1081";"    1274";"     722";"    1271"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2009";"    1019";"    1208";"     665";"    1164"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2010";"     994";"    1181";"     658";"    1171"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2011";"    1018";"    1211";"     677";"    1214"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2012";"    1014";"    1202";"     669";"    1197"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2013";"    1018";"    1205";"     672";"    1208"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2014";"    1044";"    1232";"     698";"    1259"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2015";"    1105";"    1301";"     746";"    1341"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2016";"    1161";"    1360";"     796";"    1428"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2017*";"    1229";"    1436";"     851";"    1534"
"Totaal mannen en vrouwen";"Totaal";"N Verhuur en overige zakelijke diensten";"2018*";"    1277";"    1489";"     890";"    1599"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2008";"    2299";"    2536";"    1817";"    2914"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2009";"    2356";"    2602";"    1855";"    2988"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2010";"    2421";"    2673";"    1903";"    3028"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2011";"    2434";"    2703";"    1913";"    3040"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2012";"    2440";"    2708";"    1911";"    3043"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2013";"    2424";"    2686";"    1901";"    3033"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2014";"    2385";"    2650";"    1883";"    3018"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2015";"    2363";"    2632";"    1869";"    2987"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2016";"    2367";"    2638";"    1878";"    3016"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2017*";"    2403";"    2676";"    1895";"    3048"
"Totaal mannen en vrouwen";"Totaal";"O-Q Overheid en zorg";"2018*";"    2447";"    2726";"    1930";"    3095"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2008";"     484";"     507";"     455";"     734"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2009";"     495";"     519";"     466";"     756"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2010";"     508";"     532";"     479";"     776"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2011";"     493";"     519";"     465";"     752"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2012";"     487";"     511";"     458";"     739"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2013";"     485";"     509";"     459";"     743"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2014";"     476";"     505";"     453";"     738"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2015";"     470";"     498";"     447";"     719"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2016";"     468";"     496";"     445";"     717"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2017*";"     473";"     501";"     448";"     718"
"Totaal mannen en vrouwen";"Totaal";"O Openbaar bestuur en overheidsdiensten";"2018*";"     480";"     508";"     455";"     724"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2008";"     510";"     561";"     415";"     671"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2009";"     519";"     573";"     421";"     680"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2010";"     519";"     573";"     419";"     671"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2011";"     521";"     579";"     417";"     667"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2012";"     517";"     576";"     414";"     660"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2013";"     512";"     570";"     409";"     651"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2014";"     512";"     571";"     411";"     657"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2015";"     515";"     577";"     414";"     664"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2016";"     523";"     586";"     423";"     682"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2017*";"     529";"     592";"     425";"     687"
"Totaal mannen en vrouwen";"Totaal";"P Onderwijs";"2018*";"     535";"     600";"     429";"     698"
"Totaal mannen en vrouwen";"Totaal";"Q Gezondheids- en welzijnszorg";"2008";"    1305";"    1468";"     946";"    1509"
"Totaal mannen en vrouwen";"Totaal";"Q Gezondheids- en welzijnszorg";"2009";"    1341";"    1511";"     968";"    1552"
"Totaal mannen en vrouwen";"Totaal";"Q Gezondheids- en welzijnszorg";"2010";"    1394";"    1568";"    1004";"    1581"
"Totaal mannen en vrouwen";"Totaal";"Q Gezondheids- en welzijnszorg";"2011";"    1420";"    1606";"    1031";"    1621"
"Totaal mannen en vrouwen";"Totaal";"Q Gezondheids- en welzijnszorg";"2012";"    1436";"    1621";"    1040";"    1644"
"Totaal mannen en vrouwen";"Totaal";"Q Gezondheids- en welzijnszorg";"2013";"    1427";"    1607";"    1034";"    1639"
"Totaal mannen en vrouwen";"Totaal";"Q Gezondheids- en welzijnszorg";"2014";"    1397";"    1575";"    1019";"    1623"
